epoch,trainLoss,trainTop1,trainTop5,valLoss,valTop1,valTop5,trainingTime,evalTime
1,2.3396,33.10,72.00,2.1774,32.02,76.02,158.84,27.69
2,2.1113,38.18,77.42,2.0130,40.37,80.51,160.12,26.21
3,1.9802,40.92,79.98,1.9295,43.16,82.52,147.17,25.31
4,1.8977,42.49,81.87,1.7645,45.63,84.38,157.14,27.33
5,1.8233,44.56,83.69,1.7839,45.86,85.46,135.17,25.24
6,1.7720,45.65,84.38,1.7698,44.43,86.89,138.81,25.84
7,1.7099,47.58,85.41,1.6596,49.38,88.28,137.16,25.80
8,1.6752,48.23,86.29,1.6522,48.72,88.17,139.46,25.94
9,1.6217,49.59,87.20,1.6216,49.88,88.63,138.65,25.32
10,1.5706,51.40,87.65,1.6554,48.38,88.55,137.76,25.63
11,1.5129,52.79,88.88,1.5889,51.97,89.52,141.80,25.45
12,1.4593,53.79,90.05,1.5935,52.20,89.71,142.24,25.39
13,1.4054,55.48,90.71,1.6094,52.67,90.41,160.10,27.73
14,1.3549,57.42,91.71,1.5476,53.67,91.03,157.13,26.01
15,1.3088,58.72,92.07,1.5553,52.09,90.29,156.27,25.21
16,1.2617,60.15,92.72,1.5760,54.02,90.60,151.66,25.80
17,1.2222,60.94,93.20,1.5613,54.95,90.33,137.44,25.15
18,1.2056,61.36,93.95,1.6006,53.79,90.87,137.86,25.48
19,1.1707,62.78,94.08,1.5781,53.67,90.53,142.50,24.46
20,1.1644,62.51,94.08,1.5932,54.37,90.60,145.46,26.14
