epoch,trainLoss,trainTop1,trainTop5,valLoss,valTop1,valTop5,trainingTime,evalTime
1,2.2853,28.74,67.73,2.2050,29.47,69.49,16.84,4.12
2,2.1742,31.27,70.06,2.1498,32.60,69.76,16.96,3.99
3,2.1405,32.73,70.93,2.1318,32.79,69.95,16.22,4.14
4,2.1185,32.97,71.18,2.1235,32.99,72.24,16.29,4.23
5,2.1020,33.10,71.50,2.1020,32.25,72.35,16.29,4.47
6,2.0859,33.46,72.53,2.0892,33.37,72.97,18.02,4.42
7,2.0720,33.61,72.75,2.0743,33.41,72.66,17.71,4.38
8,2.0546,33.60,72.81,2.0460,33.49,73.36,17.18,4.29
9,2.0364,33.68,73.71,2.0301,33.49,74.28,17.01,4.10
10,2.0151,33.90,74.03,2.0069,33.68,74.48,16.67,4.12
11,1.9908,33.98,74.47,1.9864,33.64,75.02,18.23,4.55
12,1.9680,34.39,75.14,1.9710,34.03,75.44,17.61,4.33
13,1.9459,34.53,75.92,1.9473,33.84,75.48,18.33,4.47
14,1.9242,34.66,76.37,1.9339,33.95,75.95,17.77,4.12
15,1.9081,34.64,76.89,1.9206,34.15,76.53,16.69,4.05
16,1.8944,35.23,77.61,1.9187,34.15,77.42,17.37,4.22
17,1.8864,34.95,77.63,1.9085,34.11,77.30,16.87,4.16
18,1.8770,35.36,78.14,1.9023,34.18,77.73,17.04,4.08
19,1.8723,35.41,78.25,1.9006,34.18,77.03,17.77,4.66
20,1.8667,35.72,78.18,1.8995,34.34,77.42,18.41,4.65
