epoch,trainLoss,trainTop1,trainTop5,valLoss,valTop1,valTop5,trainingTime,evalTime
1,2.2662,34.47,73.82,2.0017,41.76,79.04,178.23,35.10
2,2.0451,38.79,79.18,1.9021,43.23,80.28,172.28,32.57
3,1.9123,42.28,82.14,1.8957,44.55,83.57,179.11,32.80
4,1.8360,43.86,83.39,1.7535,45.98,85.73,197.87,34.91
5,1.7540,46.31,85.04,1.6587,49.19,88.21,193.43,33.73
6,1.7011,47.53,85.67,1.6466,48.96,87.43,205.98,33.27
7,1.6553,48.95,86.99,1.6295,50.73,88.21,192.47,32.73
8,1.6130,50.00,88.02,1.5737,50.00,89.17,182.25,33.80
9,1.5349,51.78,89.14,1.6058,51.70,89.83,172.13,32.42
10,1.4735,53.76,90.00,1.5584,51.78,89.40,185.24,47.04
11,1.4411,54.85,90.79,1.5488,52.59,90.60,225.40,45.99
12,1.3864,55.72,91.43,1.5225,53.29,90.10,197.85,33.75
13,1.3074,58.21,92.73,1.5219,54.02,90.37,183.43,32.55
14,1.2473,59.74,93.30,1.5301,54.95,90.72,173.60,32.69
15,1.1912,62.31,93.71,1.5263,54.18,91.03,175.64,32.27
16,1.1273,63.57,94.77,1.5980,54.87,90.80,170.02,32.66
17,1.1061,64.55,95.16,1.5468,55.53,90.87,174.06,32.21
18,1.0678,65.74,95.20,1.5842,55.76,91.30,170.77,33.16
19,1.0423,66.45,95.56,1.5937,56.11,90.87,175.97,33.68
20,1.0392,67.25,95.47,1.5789,56.19,91.11,180.79,32.84
